Id,Label,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
Alfred Hitchcock,,1,1,1,0,1
June Tripp,,0,0,0,0,1
Ivor Novello,,0,0,0,0,1
Marie Ault,,0,0,0,0,1
Arthur Chesney,,0,0,0,0,1
Malcolm Keen,,0,0,0,0,1
Wallace Bosco,,0,0,0,0,1
Daisy Campbell,,0,0,0,0,1
Maudie Dunham,,0,0,0,0,1
Reginald Gardiner,,0,0,0,0,1
Eve Gray,,0,0,0,0,1
John Ford,,1,1,1,0,1
George O'Brien,,0,0,0,0,1
Olive Borden,,0,0,0,0,1
Lou Tellegen,,0,0,0,0,1
Tom Santschi,,0,0,0,0,1
J. Farrell MacDonald,,0,0,0,0,1
Frank Campeau,,0,0,0,0,1
Priscilla Bonner,,0,0,0,0,1
Otis Harlan,,0,0,0,0,1
Phyllis Haver,,0,0,0,0,1
George Harris,,0,0,0,0,1
James Hall,,0,0,0,0,1
Margaret Mann,,0,0,0,0,1
Charles Morton,,0,0,0,0,1
Francis X. Bushman Jr.,,0,0,0,0,1
George Meeker,,0,0,0,0,1
June Collyer,,0,0,0,0,1
Earle Foxe,,0,0,0,0,1
Albert Gran,,0,0,0,0,1
Frank Reicher,,0,0,0,0,1
Archduke Leopold of Austria,,0,0,0,0,1
William Wyler,,1,1,1,0,1
Charles Bickford,,0,0,0,0,1
Raymond Hatton,,0,0,0,0,1
Fred Kohler,,0,0,0,0,1
Fritzi Ridgeway,,0,0,0,0,1
Joe De La Cruz,,0,0,0,0,1
Walter James,,0,0,0,0,1
Maria Alba,,0,0,0,0,1
Buck Connors,,0,0,0,0,1
Jim Corey,,0,0,0,0,1
Mary Gordon,,0,0,0,0,1
Kenji Mizoguchi,,1,1,1,0,0
Tokihiko Okada,,0,0,0,0,0
Yôko Umemura,,0,0,0,0,0
Shizue Natsukawa,,0,0,0,0,0
Yoneko Sakai,,0,0,0,0,0
Eiji Takagi,,0,0,0,0,0
Reiji Ichiki,,0,0,0,0,0
Isamu Kosugi,,0,0,0,0,0
Kaichi Yamamoto,,0,0,0,0,0
Takako Irie,,0,0,0,0,0
Hisako Takihana,,0,0,0,0,0
Yasujirô Ozu,,1,1,1,0,0
Emiko Yagumo,,0,0,0,0,0
Hideo Sugawara,,0,0,0,0,0
Hideko Takamine,,0,0,0,0,0
Tatsuo Saitô,,0,0,0,0,0
Chôko Iida,,0,0,0,0,0
Takeshi Sakamoto,,0,0,0,0,0
Reikô Tani,,0,0,0,0,0
Ken'ichi Miyajima,,0,0,0,0,0
Isamu Yamaguchi,,0,0,0,0,0
Tomio Aoki,,0,0,0,0,0
Mitsuko Yoshikawa,,0,0,0,0,0
Teruyo Hayami,,0,0,0,0,0
Seiichi Katô,,0,0,0,0,0
Shôichi Kofujita,,0,0,0,0,0
Seiji Nishimura,,0,0,0,0,0
Zentarô Iijima,,0,0,0,0,0
Juan Bustillo Oro,,1,1,1,0,2
Alfredo del Diestro,,0,0,0,0,2
Carmen Guerrero,,0,0,0,0,2
Antonio R. Frausto,,0,0,0,0,2
Luis G. Barreiro,,0,0,0,0,2
Emma Roldán,,0,0,0,0,2
Pepe del Río,,0,0,0,0,2
Joaquín Busquets,,0,0,0,0,2
César Rendón,,0,0,0,0,2
Abraham Galán,,0,0,0,0,2
José Ignacio Rocha,,0,0,0,0,2
John Barrymore,,0,0,0,0,1
Bebe Daniels,,0,0,0,0,1
Doris Kenyon,,0,0,0,0,1
Isabel Jewell,,0,0,0,0,1
Melvyn Douglas,,0,0,0,0,1
Onslow Stevens,,0,0,0,0,1
Thelma Todd,,0,0,0,0,1
Clara Langsner,,0,0,0,0,1
John Hammond Dailey,,0,0,0,0,1
Mayo Methot,,0,0,0,0,1
Nobuko Fushimi,,0,0,0,0,0
Den Ôhinata,,0,0,0,0,0
Chishû Ryû,,0,0,0,0,0
Nobuo Kosaka,,0,0,0,0,0
Bontarô Miake,,0,0,0,0,0
Shizuko Mori,,0,0,0,0,0
Etsuji Oki,,0,0,0,0,0
Ichirô Sugai,,0,0,0,0,0
Sumiko Suzuki,,0,0,0,0,0
Kumeko Urabe,,0,0,0,0,0
Naoyo Yamagata,,0,0,0,0,0
Mikio Naruse,,1,1,1,0,0
Akio Isono,,0,0,0,0,0
Sumiko Mizukubo,,0,0,0,0,0
Reikichi Kawamura,,0,0,0,0,0
Ryuko Fuji,,0,0,0,0,0
Yôko Fujita,,0,0,0,0,0
Kinuko Wakamizu,,0,0,0,0,0
Ryôichi Takeuchi,,0,0,0,0,0
Henrietta Crosman,,0,0,0,0,1
Heather Angel,,0,0,0,0,1
Norman Foster,,0,0,0,0,1
Lucille La Verne,,0,0,0,0,1
Maurice Murphy,,0,0,0,0,1
Marian Nixon,,0,0,0,0,1
Jay Ward,,0,0,0,0,1
Robert Warwick,,0,0,0,0,1
Louise Carter,,0,0,0,0,1
Betty Blythe,,0,0,0,0,1
Suzuko Taki,,0,0,0,0,0
Kôji Ôizumi,,0,0,0,0,0
Joe Ohara,,0,0,0,0,0
Etsuzô Oki,,0,0,0,0,0
Takashi Kawase,,0,0,0,0,0
Sumiko Kurishima,,0,0,0,0,0
Teruko Kojima,,0,0,0,0,0
Jun Arai,,0,0,0,0,0
Einosuke Naka,,0,0,0,0,0
Tsuruko Kumoi,,0,0,0,0,0
Teruko Wakamizu,,0,0,0,0,0
Martin Fric,,1,1,1,0,13
George Voskovec,,0,0,0,0,13
Jan Werich,,0,0,0,0,13
Helena Busová,,0,0,0,0,13
Josef Skrivan,,0,0,0,0,13
Theodor Pistek,,0,0,0,0,13
Zvonimir Rogoz,,0,0,0,0,13
Alois Dvorský,,0,0,0,0,13
Václav Trégl,,0,0,0,0,13
Frantisek Cerný,,0,0,0,0,13
Miroslav Svoboda,,0,0,0,0,13
Kôji Mitsui,,0,0,0,0,0
Yoshiko Tsubouchi,,0,0,0,0,0
Kiyoshi Aono,,0,0,0,0,0
Mariko Aoyama,,0,0,0,0,0
Mitsumura Ikebe,,0,0,0,0,0
Robert Donat,,0,0,0,0,1
Madeleine Carroll,,0,0,0,0,1
Lucie Mannheim,,0,0,0,0,1
Godfrey Tearle,,0,0,0,0,1
Peggy Ashcroft,,0,0,0,0,1
John Laurie,,0,0,0,0,1
Helen Haye,,0,0,0,0,1
Frank Cellier,,0,0,0,0,1
Wylie Watson,,0,0,0,0,1
Gus McNaughton,,0,0,0,0,1
Margaret Sullavan,,0,0,0,0,1
Herbert Marshall,,0,0,0,0,1
Frank Morgan,,0,0,0,0,1
Reginald Owen,,0,0,0,0,1
Eric Blore,,0,0,0,0,1
Beulah Bondi,,0,0,0,0,1
Alan Hale,,0,0,0,0,1
Cesar Romero,,0,0,0,0,1
Luis Alberni,,0,0,0,0,1
June Clayworth,,0,0,0,0,1
Victor McLaglen,,0,0,0,0,1
Preston Foster,,0,0,0,0,1
Margot Grahame,,0,0,0,0,1
Wallace Ford,,0,0,0,0,1
Una O'Connor,,0,0,0,0,1
J.M. Kerrigan,,0,0,0,0,1
Joe Sawyer,,0,0,0,0,1
Neil Fitzgerald,,0,0,0,0,1
Donald Meek,,0,0,0,0,1
Isuzu Yamada,,0,0,0,0,0
Daijirô Natsukawa,,0,0,0,0,0
Mitsusaburô Ramon,,0,0,0,0,0
Genichi Fuji,,0,0,0,0,0
Shinzô Shibata,,0,0,0,0,0
Mitsuru Tojo,,0,0,0,0,0
Junichi Kitamura,,0,0,0,0,0
Shizuko Takizawa,,0,0,0,0,0
Sue Itô,,0,0,0,0,0
Suisei Matsui,,0,0,0,0,0
Chikako Hosokawa,,0,0,0,0,0
Masako Tsutsumi,,0,0,0,0,0
Ryuko Umezono,,0,0,0,0,0
Chitose Hayashi,,0,0,0,0,0
Chisato Matsumoto,,0,0,0,0,0
Masako Sanjô,,0,0,0,0,0
Mariyo Matsumoto,,0,0,0,0,0
Heihachirô Ôkawa,,0,0,0,0,0
Kaoru Itô,,0,0,0,0,0
Osamu Takizawa,,0,0,0,0,5
Yoshiko Okada,,0,0,0,0,0
Kazuko Ojima,,0,0,0,0,0
Takayuki Suematsu,,0,0,0,0,0
Sachiko Chiba,,0,0,0,0,0
Yuriko Hanabusa,,0,0,0,0,0
Toshiko Itô,,0,0,0,0,0
Setsuko Horikoshi,,0,0,0,0,0
Sadao Maruyama,,0,0,0,0,0
Kamatari Fujiwara,,0,0,0,0,0
Edward G. Robinson,,0,0,0,0,1
Jean Arthur,,0,0,0,0,1
Arthur Hohl,,0,0,0,0,1
James Donlan,,0,0,0,0,1
Arthur Byron,,0,0,0,0,1
Etienne Girardot,,0,0,0,0,1
Edward Brophy,,0,0,0,0,1
Paul Harvey,,0,0,0,0,1
Walter Huston,,0,0,0,0,1
Ruth Chatterton,,0,0,0,0,1
Paul Lukas,,0,0,0,0,1
Mary Astor,,0,0,0,0,1
David Niven,,0,0,0,0,1
Gregory Gaye,,0,0,0,0,1
Maria Ouspenskaya,,0,0,0,0,1
Odette Myrtil,,0,0,0,0,1
Spring Byington,,0,0,0,0,1
Harlan Briggs,,0,0,0,0,1
Benkei Shiganoya,,0,0,0,0,0
Namiko Kawashima,,0,0,0,0,0
Fumio Ôkura,,0,0,0,0,0
Taizô Fukami,,0,0,0,0,0
Eitarô Shindô,,0,0,0,0,0
Sakurako Iwama,,0,0,0,0,0
Somenosuke Hayashiya,,0,0,0,0,0
Reiko Aoi,,0,0,0,0,0
Shin'ichi Himori,,0,0,0,0,0
Masao Hayama,,0,0,0,0,0
Tomoko Naniwa,,0,0,0,0,0
Jun Yokoyama,,0,0,0,0,0
Eiko Takamatsu,,0,0,0,0,0
Chiyoko Ôkura,,0,0,0,0,0
Kiyoko Ôkubo,,0,0,0,0,0
Shinpachirô Asaka,,0,0,0,0,0
Kunio Tamura,,0,0,0,0,0
Seiichi Takegawa,,0,0,0,0,0
Kensaku Hara,,0,0,0,0,0
Warner Baxter,,0,0,0,0,1
Gloria Stuart,,0,0,0,0,1
Claude Gillingwater,,0,0,0,0,1
O.P. Heggie,,0,0,0,0,1
Harry Carey,,0,0,0,0,1
Francis Ford,,0,0,0,0,1
John McGuire,,0,0,0,0,1
Francis McDonald,,0,0,0,0,1
Douglas Wood,,0,0,0,0,1
Miriam Hopkins,,0,0,0,0,1
Merle Oberon,,0,0,0,0,1
Joel McCrea,,0,0,0,0,1
Catherine Doucet,,0,0,0,0,1
Alma Kruger,,0,0,0,0,1
Bonita Granville,,0,0,0,0,1
Marcia Mae Jones,,0,0,0,0,1
Carmencita Johnson,,0,0,0,0,1
Mary Anne Durkin,,0,0,0,0,1
Margaret Hamilton,,0,0,0,0,1
Sylvia Sidney,,0,0,0,0,1
Humphrey Bogart,,0,0,0,0,1
Wendy Barrie,,0,0,0,0,1
Claire Trevor,,0,0,0,0,1
Allen Jenkins,,0,0,0,0,1
Marjorie Main,,0,0,0,0,1
Billy Halop,,0,0,0,0,1
Huntz Hall,,0,0,0,0,1
Bobby Jordan,,0,0,0,0,1
Dorothy Lamour,,0,0,0,0,1
Jon Hall,,0,0,0,0,1
C. Aubrey Smith,,0,0,0,0,1
Thomas Mitchell,,0,0,0,0,1
Raymond Massey,,0,0,0,0,1
John Carradine,,0,0,0,0,1
Jerome Cowan,,0,0,0,0,1
Al Kikume,,0,0,0,0,1
Kuulei De Clercq,,0,0,0,0,1
Bette Davis,,0,0,0,0,1
Henry Fonda,,0,0,0,0,1
George Brent,,0,0,0,0,1
Margaret Lindsay,,0,0,0,0,1
Donald Crisp,,0,0,0,0,1
Fay Bainter,,0,0,0,0,1
Richard Cromwell,,0,0,0,0,1
Henry O'Neill,,0,0,0,0,1
John Litel,,0,0,0,0,1
Margaret Lockwood,,0,0,0,0,1
Michael Redgrave,,0,0,0,0,1
May Whitty,,0,0,0,0,1
Cecil Parker,,0,0,0,0,1
Linden Travers,,0,0,0,0,1
Naunton Wayne,,0,0,0,0,1
Basil Radford,,0,0,0,0,1
Mary Clare,,0,0,0,0,1
Emile Boreo,,0,0,0,0,1
Fernando Soler,,0,0,0,0,2
Marina Tamayo,,0,0,0,0,2
Emilio Tuero,,0,0,0,0,2
Joaquín Pardavé,,0,0,0,0,2
Dolores Camarillo,,0,0,0,0,2
Aurora Walker,,0,0,0,0,2
Agustín Isunza,,0,0,0,0,2
Lucha María Ávila,,0,0,0,0,2
Victoria Argota,,0,0,0,0,2
Conchita Gentil Arcos,,0,0,0,0,2
John Wayne,,0,0,0,0,1
Andy Devine,,0,0,0,0,1
Louise Platt,,0,0,0,0,1
George Bancroft,,0,0,0,0,1
Berton Churchill,,0,0,0,0,1
Tim Holt,,0,0,0,0,1
Laurence Olivier,,0,0,0,0,1
Flora Robson,,0,0,0,0,1
Geraldine Fitzgerald,,0,0,0,0,1
Hugh Williams,,0,0,0,0,1
Leo G. Carroll,,0,0,0,0,1
Miles Mander,,0,0,0,0,1
Cecil Kellaway,,0,0,0,0,1
Alice Brady,,0,0,0,0,1
Marjorie Weaver,,0,0,0,0,1
Arleen Whelan,,0,0,0,0,1
Eddie Collins,,0,0,0,0,1
Pauline Moore,,0,0,0,0,1
Judith Dickens,,0,0,0,0,1
Eddie Quillan,,0,0,0,0,1
Shôtarô Hanayagi,,0,0,0,0,0
Kôkichi Takada,,0,0,0,0,0
Ryôtarô Kawanami,,0,0,0,0,0
Kinnosuke Takamatsu,,0,0,0,0,0
Jun'nosuke Hayama,,0,0,0,0,0
Tamitaro Onoue,,0,0,0,0,0
Ichirô Yûki,,0,0,0,0,0
Kômei Minami,,0,0,0,0,0
Jin'ichi Amano,,0,0,0,0,0
Haruo Inoue,,0,0,0,0,0
Cantinflas,,0,0,0,0,2
Sara García,,0,0,0,0,2
Sofía Álvarez,,0,0,0,0,2
Manuel Noriega,,0,0,0,0,2
Antonio Bravo,,0,0,0,0,2
Francisco Jambrina,,0,0,0,0,2
Laraine Day,,0,0,0,0,1
George Sanders,,0,0,0,0,1
Albert Bassermann,,0,0,0,0,1
Robert Benchley,,0,0,0,0,1
Edmund Gwenn,,0,0,0,0,1
Eduardo Ciannelli,,0,0,0,0,1
Harry Davenport,,0,0,0,0,1
Martin Kosleck,,0,0,0,0,1
Jane Darwell,,0,0,0,0,1
Charley Grapewin,,0,0,0,0,1
Dorris Bowdon,,0,0,0,0,1
Russell Simpson,,0,0,0,0,1
O.Z. Whitehead,,0,0,0,0,1
John Qualen,,0,0,0,0,1
Zeffie Tilbury,,0,0,0,0,1
James Stephenson,,0,0,0,0,1
Frieda Inescort,,0,0,0,0,1
Gale Sondergaard,,0,0,0,0,1
Bruce Lester,,0,0,0,0,1
