Id,Label,type
Charles Chaplin,Charles Chaplin,Director
John Ford,John Ford,Director
Alfred Hitchcock,Alfred Hitchcock,Director
Billy Wilder,Billy Wilder,Director
John Huston,John Huston,Director
David Lean,David Lean,Director
Ingmar Bergman,Ingmar Bergman,Director
Stanley Kubrick,Stanley Kubrick,Director
Roman Polanski,Roman Polanski,Director
Sidney Lumet,Sidney Lumet,Director
Steven Spielberg,Steven Spielberg,Director
Francis Ford Coppola,Francis Ford Coppola,Director
Milos Forman,Milos Forman,Director
Martin Scorsese,Martin Scorsese,Director
Woody Allen,Woody Allen,Director
Clint Eastwood,Clint Eastwood,Director
Ridley Scott,Ridley Scott,Director
James Cameron,James Cameron,Director
Tim Burton,Tim Burton,Director
Joel Coen,Joel Coen,Director
Peter Jackson,Peter Jackson,Director
David Fincher,David Fincher,Director
Quentin Tarantino,Quentin Tarantino,Director
Danny Boyle,Danny Boyle,Director
Christopher Nolan,Christopher Nolan,Director
Mack Swain,Mack Swain,Actor
Alice Davenport,Alice Davenport,Actor
Alice Howell,Alice Howell,Actor
Helen Carruthers,Helen Carruthers,Actor
Ted Edwards,Ted Edwards,Actor
Grover Ligon,Grover Ligon,Actor
Harry Russell,Harry Russell,Actor
Slim Summerville,Slim Summerville,Actor
Mabel Normand,Mabel Normand,Actor
Phyllis Allen,Phyllis Allen,Actor
Glen Cavender,Glen Cavender,Actor
Nick Cogley,Nick Cogley,Actor
Vivian Edwards,Vivian Edwards,Actor
Edwin Frazee,Edwin Frazee,Actor
Charles Bennett,Charles Bennett,Actor
Jess Dandy,Jess Dandy,Actor
Cecile Arnold,Cecile Arnold,Actor
Norma Nichols,Norma Nichols,Actor
Joe Bordeaux,Joe Bordeaux,Actor
Dan Albert,Dan Albert,Actor
Minta Durfee,Minta Durfee,Actor
Edgar Kennedy,Edgar Kennedy,Actor
Gordon Griffith,Gordon Griffith,Actor
Chester Conklin,Chester Conklin,Actor
Josef Swickard,Josef Swickard,Actor
Hank Mann,Hank Mann,Actor
Eva Nelson,Eva Nelson,Actor
Edna Purviance,Edna Purviance,Actor
Lloyd Bacon,Lloyd Bacon,Actor
Eric Campbell,Eric Campbell,Actor
Leo White,Leo White,Actor
Albert Austin,Albert Austin,Actor
John Rand,John Rand,Actor
James T. Kelley,James T. Kelley,Actor
Frank J. Coleman,Frank J. Coleman,Actor
Fred Goodwins,Fred Goodwins,Actor
Charlotte Mineau,Charlotte Mineau,Actor
Henry Bergman,Henry Bergman,Actor
Harry Carey,Harry Carey,Actor
Molly Malone,Molly Malone,Actor
L.M. Wells,L.M. Wells,Actor
Vester Pegg,Vester Pegg,Actor
William Steele,William Steele,Actor
Gertrude Astor,Gertrude Astor,Actor
Martha Mattox,Martha Mattox,Actor
Jim Corey,Jim Corey,Actor
Steve Pimento,Steve Pimento,Actor
Hoot Gibson,Hoot Gibson,Actor
Ed Jones,Ed Jones,Actor
Pete Carey,Pete Carey,Actor
Kitty Bradbury,Kitty Bradbury,Actor
William Gillespie,William Gillespie,Actor
Tom Harrington,Tom Harrington,Actor
Harry L. Rattenberry,Harry L. Rattenberry,Actor
Anna Townsend,Anna Townsend,Actor
Louise Granville,Louise Granville,Actor
Duke Worne,Duke Worne,Actor
Jean Hathaway,Jean Hathaway,Actor
Edythe Sterling,Edythe Sterling,Actor
J. Morris Foster,J. Morris Foster,Actor
Elizabeth Janes,Elizabeth Janes,Actor
Steve Clemente,Steve Clemente,Actor
Jean Hersholt,Jean Hersholt,Actor
Fritzi Ridgeway,Fritzi Ridgeway,Actor
